class,order,family,species,synonym,status,iucn_lindken
Reptilia,Squamata,Anguidae,Abronia anzuetoi,0,0,VU
Reptilia,Squamata,Anguidae,Abronia campbelli,0,1,CR
Reptilia,Squamata,Anguidae,Abronia frosti,0,1,CR
Reptilia,Squamata,Anguidae,Abronia mitchelli,0,0,DD
Reptilia,Squamata,Anguidae,Abronia ochoterenai,0,0,DD
Reptilia,Squamata,Anguidae,Abronia ornelasi,0,0,DD
Reptilia,Squamata,Anguidae,Abronia ramirezi,0,0,DD
Reptilia,Squamata,Lacertidae,Acanthodactylus spinicauda,0,1,CR
Reptilia,Squamata,Agamidae,Acanthosaura bintangensis,0,0,NE
Reptilia,Squamata,Agamidae,Acanthosaura brachypoda,0,0,NE
Mammalia,Chiroptera,Pteropodidae,Acerodon humilis,0,1,EN
Aves,Passeriformes,Acrocephalidae,Acrocephalus longirostris,0,0,CR
Aves,Passeriformes,Acrocephalidae,Acrocephalus orinus,0,1,DD
Aves,Coraciiformes,Alcedinidae,Actenoides bougainvillei,0,1,EN
Amphibia,Anura,Bufonidae,Adenomus kandianus,0,1,EN
Reptilia,Squamata,Gymnophthalmidae,Adercosaurus vixadnexus,0,0,LC
Aves,Caprimulgiformes,Aegothelidae,Aegotheles savesi,0,0,CR
Aves,Caprimulgiformes,Aegothelidae,Aegotheles tatei,0,1,DD
Aves,Galliformes,Megapodiidae,Aepypodius bruijnii,0,1,EN
Reptilia,Squamata,Agamidae,Agama lucyae,0,0,NE
Reptilia,Squamata,Elapidae,Aipysurus apraefrontalis,0,1,CR
Reptilia,Squamata,Elapidae,Aipysurus foliosquama,0,1,CR
Reptilia,Squamata,Elapidae,Aipysurus fuscus,0,0,EN
Reptilia,Squamata,Scincidae,Alinea lanceolata,0,0,CR
Amphibia,Anura,Aromobatidae,Allobates caribe,0,0,CR
Amphibia,Anura,Aromobatidae,Allobates humilis,0,1,EN
Amphibia,Anura,Aromobatidae,Allobates mcdiarmidi,0,0,CR(PE)
Amphibia,Anura,Aromobatidae,Allobates ranoides,0,0,CR(PE)
Mammalia,Primates,Cheirogaleidae,Allocebus trichotis,0,1,EN
Reptilia,Squamata,Gymnophthalmidae,Alopoglossus lehmanni,0,0,NE
Amphibia,Anura,Alsodidae,Alsodes montanus,0,1,VU
Reptilia,Squamata,Dipsadidae,Alsophis antiguae,0,1,CR
Amphibia,Anura,Bufonidae,Altiphrynoides osgoodi,0,0,CR(PE)
Aves,Passeriformes,Motacillidae,Amaurocichla bocagii,0,1,VU
Aves,Gruiformes,Rallidae,Amaurornis olivieri,0,1,EN
Aves,Caprimulgiformes,Trochilidae,Amazilia alfaroana,0,0,CR
Aves,Caprimulgiformes,Trochilidae,Amazilia castaneiventris,0,1,NT
Aves,Passeriformes,Ptilonorhynchidae,Amblyornis flavifrons,0,1,LC
Amphibia,Anura,Dendrobatidae,Ameerega boliviana,0,1,NT
Amphibia,Anura,Dendrobatidae,Ameerega planipaleae,0,1,CR
Reptilia,Squamata,Typhlopidae,Amerotyphlops tasymicris,0,1,EN
Amphibia,Anura,Bufonidae,Amietophrynus danielae,0,0,DD
Amphibia,Anura,Ranidae,Amolops kaulbacki,0,0,DD
Amphibia,Anura,Ranidae,Amolops mengyangensis,0,0,LC
Reptilia,Squamata,Scincidae,Amphiglossus mandady,0,0,DD
Reptilia,Squamata,Scincidae,Amphiglossus spilostichus,0,0,DD
Reptilia,Squamata,Scincidae,Amphiglossus stylus,0,0,DD
Reptilia,Squamata,Amphisbaenidae,Amphisbaena absaberi,0,0,DD
Reptilia,Squamata,Amphisbaenidae,Amphisbaena acrobeles,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena arda,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena bagual,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena brevis,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena carlgansi,0,1,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena cayemite,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena cerradensis,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena leali,0,0,CR
Reptilia,Squamata,Amphisbaenidae,Amphisbaena myersi,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena polygrammica,0,0,DD
Reptilia,Squamata,Amphisbaenidae,Amphisbaena rozei,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Amphisbaena stejnegeri,0,0,DD
Reptilia,Squamata,Amphisbaenidae,Amphisbaena tragorrhectes,0,0,DD
Reptilia,Squamata,Gymnophthalmidae,Anadia altaserrania,0,0,NE
Reptilia,Squamata,Gymnophthalmidae,Anadia blakei,0,0,EN
Aves,Anseriformes,Anatidae,Anas nesiotis,0,1,VU
Amphibia,Anura,Dendrobatidae,Andinobates abditus,0,0,CR(PE)
Amphibia,Anura,Dendrobatidae,Andinobates viridis,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Andinophryne olallai,0,1,CR
Reptilia,Squamata,Typhlopidae,Anilios insperatus,0,0,CR(PE)
Aves,Psittaciformes,Psittacidae,Anodorhynchus glaucus,0,0,CR(PE)
Aves,Psittaciformes,Psittacidae,Anodorhynchus leari,0,1,EN
Reptilia,Squamata,Dactyloidae,Anolis alfaroi,0,1,NE
Reptilia,Squamata,Dactyloidae,Anolis altitudinalis,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis birama,0,1,NE
Reptilia,Squamata,Dactyloidae,Anolis carlostoddi,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis garridoi,0,1,NE
Reptilia,Squamata,Dactyloidae,Anolis incredulus,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis juangundlachi,0,0,CR
Reptilia,Squamata,Dactyloidae,Anolis laevis,0,0,DD
Reptilia,Squamata,Dactyloidae,Anolis lamari,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis oporinus,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis paravertebralis,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis proboscis,0,1,EN
Reptilia,Squamata,Dactyloidae,Anolis radulinus,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis roosevelti,0,0,CR(PE)
Reptilia,Squamata,Dactyloidae,Anolis singularis,0,0,NE
Reptilia,Squamata,Dactyloidae,Anolis vicarius,0,0,DD
Amphibia,Anura,Aromobatidae,Anomaloglossus degranvillei,0,0,CR
Amphibia,Anura,Bufonidae,Ansonia latidisca,0,1,EN
Amphibia,Anura,Bufonidae,Ansonia ornata,0,1,EN
Amphibia,Anura,Bufonidae,Ansonia siamensis,0,0,VU
Amphibia,Anura,Hylidae,Aplastodiscus musicus,0,0,DD
Aves,Passeriformes,Sturnidae,Aplonis pelzelni,0,0,CR
Mammalia,Rodentia,Muridae,Apomys sacobianus,0,1,LC
Mammalia,Chiroptera,Pteropodidae,Aproteles bulmerae,0,1,CR
Amphibia,Caudata,Plethodontidae,Aquiloeurycea praecellens,0,0,CR(PE)
Aves,Psittaciformes,Psittacidae,Ara glaucogularis,0,1,CR
Aves,Galliformes,Phasianidae,Arborophila davidi,0,1,NT
Mammalia,Carnivora,Otariidae,Arctocephalus philippii,0,1,LC
Mammalia,Carnivora,Otariidae,Arctocephalus townsendi,0,1,LC
Amphibia,Anura,Aromobatidae,Aromobates alboguttatus,0,0,CR(PE)
Amphibia,Anura,Aromobatidae,Aromobates haydeeae,0,0,CR(PE)
Amphibia,Anura,Aromobatidae,Aromobates leopardalis,0,0,CR(PE)
Amphibia,Anura,Aromobatidae,Aromobates molinarii,0,0,CR
Amphibia,Anura,Aromobatidae,Aromobates nocturnus,0,0,CR(PE)
Amphibia,Anura,Aromobatidae,Aromobates serranus,0,0,CR(PE)
Amphibia,Anura,Petropedetidae,Arthroleptides dutoiti,0,0,CR(PE)
Amphibia,Anura,Arthroleptidae,Arthroleptis aureoli,0,1,NT
Amphibia,Anura,Arthroleptidae,Arthroleptis kutogundua,0,0,CR(PE)
Amphibia,Anura,Arthroleptidae,Arthroleptis troglodytes,0,1,CR(PE)
Reptilia,Squamata,Gymnophthalmidae,Arthrosaura testigensis,0,0,LC
Reptilia,Squamata,Phyllodactylidae,Asaccus saffinae,0,0,NE
Reptilia,Squamata,Scincidae,Asymblepharus mahabharatus,0,0,NE
Reptilia,Squamata,Scincidae,Asymblepharus nepalensis,0,0,NE
Amphibia,Anura,Bufonidae,Atelopus angelito,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus ardila,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus arsyecue,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus arthuri,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus bomolochos,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus boulengeri,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus carauta,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus carbonerensis,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus carrikeri,0,1,EN
Amphibia,Anura,Bufonidae,Atelopus chirripoensis,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus chocoensis,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus coynei,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus cruciger,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus dimorphus,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus ebenoides,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus erythropus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus eusebianus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus eusebiodiazi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus famelicus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus farci,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus galactogaster,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus gigas ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus guanujo,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus guitarraensis,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus halihelos,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus ignescens,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus laetissimus,0,1,EN
Amphibia,Anura,Bufonidae,Atelopus longibrachius,0,0,EN
Amphibia,Anura,Bufonidae,Atelopus lynchi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus mandingues,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus mindoensis,0,1,CR
Amphibia,Anura,Bufonidae,Atelopus minutulus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus monohernandezii ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus mucubajiensis,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus muisca,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus nahumae,0,1,EN
Amphibia,Anura,Bufonidae,Atelopus nicefori,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus onorei,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus orcesi ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus oxyrhynchus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus pachydermus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus palmatus,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus pastuso,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus pedimarmoratus ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus peruensis,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus petersi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus petriruizi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus pictiventris ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus pinangoi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus planispina,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus podocarpus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus pyrodactylus,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus quimbaya ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus reticulatus,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus sanjosei,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus seminiferus,0,1,EN
Amphibia,Anura,Bufonidae,Atelopus sernai,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus simulatus,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus siranus ,0,0,DD
Amphibia,Anura,Bufonidae,Atelopus sonsonensis,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus sorianoi,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus subornatus ,0,0,CR(PE)
Amphibia,Anura,Bufonidae,Atelopus tamaense ,0,0,CR
Amphibia,Anura,Bufonidae,Atelopus zeteki,0,0,CR(PE)
Aves,Strigiformes,Strigidae,Athene blewitti,0,1,EN
Aves,Passeriformes,Passerellidae,Atlapetes blancae,0,1,CR
Aves,Passeriformes,Passerellidae,Atlapetes pallidiceps,0,1,EN
Aves,Passeriformes,Passerellidae,Atlapetes terborghi,0,0,NT
Amphibia,Anura,Craugastoridae,Atopophrynus syntomopus,0,0,CR
Reptilia,Squamata,Dipsadidae,Atractus andinus,0,0,DD
Reptilia,Squamata,Dipsadidae,Atractus boulengerii,0,1,DD
Reptilia,Squamata,Dipsadidae,Atractus microrhynchus,0,1,VU
Reptilia,Squamata,Dipsadidae,Atractus peruvianus,0,0,DD
Aves,Passeriformes,Atrichornithidae,Atrichornis clamosus,0,1,EN
Amphibia,Anura,Microhylidae,Austrochaperina brevipes,0,1,DD
Amphibia,Anura,Microhylidae,Austrochaperina yelaensis,0,1,LC
Aves,Anseriformes,Anatidae,Aythya innotata,0,1,CR
Reptilia,Squamata,Gymnophthalmidae,Bachia micromela,0,0,NE
Reptilia,Squamata,Gymnophthalmidae,Bachia psamophila,0,0,NE
Reptilia,Squamata,Gymnophthalmidae,Bachia remota,0,0,NE
Reptilia,Squamata,Amphisbaenidae,Baikia africana,0,0,DD
Mammalia,Chiroptera,Emballonuridae,Balantiopteryx infusca,0,1,VU
Aves,Passeriformes,Thraupidae,Bangsia aureocincta,0,1,VU
Aves,Passeriformes,Thraupidae,Bangsia melanochlamys,0,1,VU
Amphibia,Anura,Bombinatoridae,Barbourula busuangensis,0,1,NT
Amphibia,Anura,Bombinatoridae,Barbourula kalimantanensis,0,1,EN
Reptilia,Squamata,Scincidae,Barkudia insularis,0,1,CR
Mammalia,Rodentia,Sciuridae,Biswamoyopterus biswasi,0,0,CR
Amphibia,Anura,Hylidae,Boana secedens,0,0,DD
Amphibia,Anura,Hylidae,Bokermannohyla clepsydra,0,0,DD
Amphibia,Anura,Hylidae,Bokermannohyla izecksohni,0,0,CR(PE)
Amphibia,Anura,Hylidae,Bokermannohyla langei,0,0,DD
Amphibia,Caudata,Plethodontidae,Bolitoglossa capitana,0,0,CR
Amphibia,Caudata,Plethodontidae,Bolitoglossa nussbaumi,0,0,CR(PE)
Amphibia,Anura,Mantellidae,Boophis williamsi,0,1,CR
Mammalia,Cetartiodactyla,Bovidae,Bos sauveli,0,0,CR(PE)
Aves,Pelecaniformes,Threskiornithidae,Bostrychia bocagei,0,1,CR
Amphibia,Anura,Brachycephalidae,Brachycephalus nodoterga,0,0,DD
Reptilia,Squamata,Scincidae,Brachymeles dalawangdaliri,0,0,NE
Reptilia,Squamata,Scincidae,Brachymeles elerae,0,1,DD
Reptilia,Squamata,Scincidae,Brachymeles isangdaliri,0,0,NE
Reptilia,Squamata,Scincidae,Brachymeles ligtas,0,0,NE
Reptilia,Squamata,Scincidae,Brachymeles lukbani,0,0,NE
Reptilia,Squamata,Scincidae,Brachymeles vermis,0,0,EN
Reptilia,Squamata,Scincidae,Brachymeles wrighti,0,0,DD
Mammalia,Rodentia,Nesomyidae,Brachytarsomys villosa,0,1,VU
Aves,Passeriformes,Locustellidae,Bradypterus seebohmi,0,1,LC
Amphibia,Caudata,Plethodontidae,Bradytriton silus,0,1,EN
Reptilia,Squamata,Agamidae,Bronchocela orlovi,0,0,NE
Reptilia,Squamata,Chamaeleonidae,Brookesia lambertoni,0,0,DD
Amphibia,Anura,Bufonidae,Bufoides kempi,0,0,DD
Mammalia,Lagomorpha,Leporidae,Bunolagus monticularis,0,1,CR
Aves,Gruiformes,Rallidae,Cabalus lafresnayanus,1,0,CR
Aves,Gruiformes,Rallidae,Cabalus lafresnayanus,0,0,CR
Aves,Passeriformes,Icteridae,Cacicus koepckeae,0,1,NT
Reptilia,Crocodylia,Alligatoridae,Caiman crocodilus apaporiensis,0,1,NE
Mammalia,Afrosoricida,Chrysochloridae,Calcochloris tytonis,0,0,DD
Reptilia,Squamata,Scincidae,Caledoniscincus cryptos,0,0,DD
Reptilia,Squamata,Scincidae,Caledoniscincus terma,0,0,VU
Aves,Passeriformes,Callaeidae,Callaeas cinereus,0,0,CR(PE)
Amphibia,Anura,Hyperoliidae,Callixalus pictus,0,0,VU
Amphibia,Anura,Microhylidae,Calluella volzi,0,1,LC
Reptilia,Squamata,Agamidae,Calotes bhutanensis,0,0,NE
Aves,Passeriformes,Tyrannidae,Calyptura cristata,0,0,CR
Aves,Piciformes,Picidae,Campephilus imperialis,0,0,CR(PE)
Aves,Piciformes,Picidae,Campephilus principalis,0,0,CR
Aves,Caprimulgiformes,Trochilidae,Campylopterus phainopeplus,0,0,CR
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus noctitherus,0,1,EN
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus prigoginei,0,0,EN
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus solala,0,1,VU
Mammalia,Lagomorpha,Leporidae,Caprolagus hispidus,0,1,EN
Amphibia,Anura,Arthroleptidae,Cardioglossa cyaneospila,0,1,NT
Reptilia,Squamata,Scincidae,Carlia sukur,0,0,NE
Aves,Cuculiformes,Cuculidae,Carpococcyx viridis,0,1,CR
Mammalia,Rodentia,Muridae,Carpomys melanurus,0,1,DD
Mammalia,Primates,Cebidae,Cebus flavius,0,1,EN
Reptilia,Squamata,Scincidae,Celatiscincus euryotis,0,0,EN
Reptilia,Squamata,Diploglossidae,Celestus adercus,0,0,DD
Reptilia,Squamata,Anguidae,Celestus anelpistus,0,0,CR(PE)
Reptilia,Squamata,Anguidae,Celestus duquesneyi,0,1,CR
Reptilia,Squamata,Diploglossidae,Celestus fowleri,0,0,VU
Reptilia,Squamata,Diploglossidae,Celestus ingridae,1,0,DD
Reptilia,Squamata,Anguidae,Celestus microblepharis,0,0,CR
Reptilia,Squamata,Anguidae,Celestus occiduus,0,0,CR
Aves,Piciformes,Picidae,Celeus obrieni,0,1,VU
Amphibia,Anura,Centrolenidae,Centrolene geckoideum,0,0,CR(PE)
Amphibia,Anura,Centrolenidae,Centrolene pipilatum,0,0,CR(PE)
Mammalia,Primates,Cercopithecidae,Cercopithecus sclateri,0,1,EN
Reptilia,Squamata,Gymnophthalmidae,Cercosaura steyeri,0,0,NE
Mammalia,Didelphimorphia,Didelphidae,Chacodelphys formosa,0,1,NT
Reptilia,Squamata,Scincidae,Chalcides ebneri,0,0,CR
Reptilia,Squamata,Scincidae,Chalcides pentadactylus,0,0,DD
Reptilia,Squamata,Chamaeleonidae,Chamaeleon monoceras,1,0,NE
Aves,Psittaciformes,Psittacidae,Charmosyna amabilis,0,0,CR
Aves,Psittaciformes,Psittacidae,Charmosyna diadema,0,0,CR(PE)
Aves,Psittaciformes,Psittacidae,Charmosyna toxopei,0,1,CR
Mammalia,Primates,Cheirogaleidae,Cheirogaleus sibreei,0,1,CR
Reptilia,Testudines,Chelidae,Chelodina kuchlingi,0,0,NE
Reptilia,Testudines,Testudinidae,Chelonoidis phantasticus,0,1,CR
Amphibia,Anura,Microhylidae,Chiasmocleis sapiranga,0,0,DD
Mammalia,Rodentia,Chinchillidae,Chinchilla lanigera,0,1,EN
Reptilia,Squamata,Amphisbaenidae,Chirindia mpwapwaensis,0,0,DD
Amphibia,Anura,Rhacophoridae,Chiromantis simus,0,1,LC
Amphibia,Caudata,Plethodontidae,Chiropterotriton casasi,0,0,CR
Mammalia,Eulipotyphla,Soricidae,Chodsigoa sodalis,0,1,DD
Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris visagiei,2,0,DD
Aves,Passeriformes,Cisticolidae,Cisticola melanurus,0,1,DD
Aves,Passeriformes,Thamnophilidae,Clytoctantes alixii,0,1,EN
Aves,Passeriformes,Thamnophilidae,Clytoctantes atrogularis,0,1,VU
Aves,Passeriformes,Monarchidae,Clytorhynchus sanctaecrucis,0,1,EN
Reptilia,Squamata,Gekkonidae,Cnemaspis amith,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis andersonii,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis bayuensis,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis dezwaani,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis jacobsoni,0,0,DD
Reptilia,Squamata,Gekkonidae,Cnemaspis laoensis,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis latha,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis menikay,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis minang,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis monticola,0,0,DD
Reptilia,Squamata,Gekkonidae,Cnemaspis pagai,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis punctata,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis rajabasa,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis sundagekko,0,0,NE
Reptilia,Squamata,Gekkonidae,Cnemaspis tapanuli,0,0,NE
Aves,Caprimulgiformes,Trochilidae,Coeligena orina,0,1,EN
Aves,Columbiformes,Columbidae,Columba argentina,0,1,CR
Aves,Columbiformes,Columbidae,Columbina cyanopis,0,1,CR
Reptilia,Squamata,Agamidae,Complicitus nigrigularis,0,0,NE
Aves,Passeriformes,Thraupidae,Conothraupis mesoleuca,0,1,EN
Amphibia,Anura,Conrauidae,Conraua derooi,0,1,CR
Reptilia,Squamata,Teiidae,Contomastix vittata,0,1,VU
Reptilia,Squamata,Scincidae,Copeoglossum margaritae,0,0,DD
Aves,Passeriformes,Muscicapidae,Copsychus cebuensis,0,1,EN
Reptilia,Squamata,Diplodactylidae,Correlophus belepensis,0,0,NE
Reptilia,Squamata,Diplodactylidae,Correlophus ciliatus,0,1,VU
Aves,Passeriformes,Corvidae,Corvus unicolor,0,1,CR
Mammalia,Rodentia,Muridae,Crateromys australis,0,1,DD
Mammalia,Rodentia,Muridae,Crateromys paulus,0,0,DD
Amphibia,Anura,Craugastoridae,Craugastor adamastus,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor andi,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor catalinae,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor chrysozetetes,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor cruzi,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor epochthidius,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor fecundus,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor fleischmanni,0,0,CR
Amphibia,Anura,Craugastoridae,Craugastor gulosus,0,0,CR(PE)
Amphibia,Anura,Craugastoridae,Craugastor merendonensis,0,0,CR(PE)
