"species","last_seen","rediscovery_date"
"Abronia anzuetoi",1974,NA
"Abronia campbelli",1993,2010
"Abronia frosti",1998,2010
"Abronia mitchelli",1974,NA
"Abronia ochoterenai",1935,NA
"Abronia ornelasi",1985,NA
"Abronia ramirezi",1990,NA
"Acanthodactylus spinicauda",1901,2015
"Acanthosaura bintangensis",2008,NA
"Acanthosaura brachypoda",2006,NA
"Acerodon humilis",1899,1999
"Acrocephalus longirostris",1981,NA
"Acrocephalus orinus",1867,2006
"Actenoides bougainvillei",1953,1994
"Adenomus kandianus",1872,2009
"Adercosaurus vixadnexus",1995,NA
"Aegotheles savesi",1998,NA
"Aegotheles tatei",1969,2003
"Aepypodius bruijnii",1938,2002
"Agama lucyae",1964,NA
"Aipysurus apraefrontalis",2000,2015
"Aipysurus foliosquama",2001,2015
"Aipysurus fuscus",2005,NA
"Alinea lanceolata",1889,NA
"Allobates caribe",2000,NA
"Allobates humilis",1980,2002
"Allobates mcdiarmidi",2005,NA
"Allobates ranoides",2001,NA
"Allocebus trichotis",1875,1989
"Alopoglossus lehmanni",1962,NA
"Alsodes montanus",1902,1964
"Alsophis antiguae",1936,1965
"Altiphrynoides osgoodi",2003,NA
"Amaurocichla bocagii",1928,1990
"Amazilia alfaroana",1895,NA
"Amblyornis flavifrons",1895,1981
"Ameerega boliviana",1902,1998
"Ameerega planipaleae",1996,2007
"Amerotyphlops tasymicris",1968,2010
"Amolops kaulbacki",1935,NA
"Amolops mengyangensis",1957,NA
"Amphiglossus mandady",1999,NA
"Amphiglossus spilostichus",1996,NA
"Amphiglossus stylus",1999,NA
"Amphisbaena absaberi",1993,NA
"Amphisbaena acrobeles",2003,NA
"Amphisbaena arda",2000,NA
"Amphisbaena bagual",2002,NA
"Amphisbaena brevis",2001,NA
"Amphisbaena carlgansi",1994,2019
"Amphisbaena cayemite",1971,NA
"Amphisbaena leali",1991,NA
"Amphisbaena myersi",1963,NA
"Amphisbaena polygrammica",1900,NA
"Amphisbaena rozei",1953,NA
"Amphisbaena stejnegeri",1921,NA
"Amphisbaena tragorrhectes",1968,NA
"Anadia altaserrania",1939,NA
"Anadia blakei",1992,NA
"Anas nesiotis",1886,1975
"Andinobates abditus",1974,NA
"Andinobates viridis",2005,NA
"Anilios insperatus",1992,NA
"Anodorhynchus glaucus",2001,NA
"Anodorhynchus leari",1856,1978
"Anolis alfaroi",1990,2020
"Anolis altitudinalis",1989,NA
"Anolis birama",1980,2019
"Anolis carlostoddi",1984,NA
"Anolis garridoi",1991,2020
"Anolis incredulus",1963,NA
"Anolis juangundlachi",2008,NA
"Anolis laevis",1850,NA
"Anolis lamari",1980,NA
"Anolis oporinus",1990,NA
"Anolis paravertebralis",1920,NA
"Anolis proboscis",1955,2005
"Anolis radulinus",1862,NA
"Anolis roosevelti",1932,NA
"Anolis singularis",1962,NA
"Anolis vicarius",1981,NA
"Anomaloglossus degranvillei",2009,NA
"Ansonia latidisca",1924,2011
"Ansonia siamensis",1998,NA
"Aplastodiscus musicus",1949,NA
"Aplonis pelzelni",1995,NA
"Apomys sacobianus",1991,2011
"Aproteles bulmerae",1970,1992
"Aquiloeurycea praecellens",1940,NA
"Ara glaucogularis",1922,1992
"Arborophila davidi",1927,1991
"Arctocephalus philippii",1900,1965
"Arctocephalus townsendi",1850,1954
"Aromobates alboguttatus",1995,NA
"Aromobates haydeeae",1995,NA
"Aromobates leopardalis",1995,NA
"Aromobates molinarii",2007,NA
"Aromobates nocturnus",1991,NA
"Aromobates serranus",1985,NA
"Arthroleptides dutoiti",1962,NA
"Arthroleptis aureoli",1963,2003
"Arthroleptis kutogundua",1930,NA
"Arthroleptis troglodytes",1962,2016
"Arthrosaura testigensis",1988,NA
"Asaccus saffinae",2008,NA
"Asymblepharus mahabharatus",1998,NA
"Asymblepharus nepalensis",1991,NA
"Atelopus angelito",2000,NA
"Atelopus ardila",1989,NA
"Atelopus arsyecue",1991,2019
"Atelopus arthuri",1988,NA
"Atelopus bomolochos",1991,2002
"Atelopus boulengeri",1984,NA
"Atelopus carauta",1987,NA
"Atelopus carbonerensis",1998,NA
"Atelopus carrikeri",1994,2008
"Atelopus chirripoensis",1980,NA
"Atelopus chocoensis",1998,NA
"Atelopus coynei",1984,2012
"Atelopus cruciger",1982,2003
"Atelopus dimorphus",1980,NA
"Atelopus ebenoides",2005,NA
"Atelopus erythropus",2004,NA
"Atelopus eusebianus",2004,NA
"Atelopus eusebiodiazi",1997,NA
"Atelopus famelicus",2005,NA
"Atelopus farci",2003,NA
"Atelopus galactogaster",1995,NA
"Atelopus gigas",1970,NA
"Atelopus guanujo",1988,NA
"Atelopus guitarraensis",1990,NA
"Atelopus halihelos",1984,NA
"Atelopus ignescens",1988,2016
"Atelopus laetissimus",1992,2006
"Atelopus longibrachius",1990,NA
"Atelopus lynchi",1984,NA
"Atelopus mandingues",1992,NA
"Atelopus mindoensis",1973,2019
"Atelopus minutulus",1985,NA
"Atelopus monohernandezii",1982,NA
"Atelopus mucubajiensis",2004,NA
"Atelopus muisca",2008,NA
"Atelopus nahumae",1992,2006
"Atelopus nicefori",1988,NA
"Atelopus onorei",1990,NA
"Atelopus orcesi",1998,NA
"Atelopus oxyrhynchus",1994,NA
"Atelopus pachydermus",1995,NA
"Atelopus palmatus",2008,NA
"Atelopus pastuso",1993,NA
"Atelopus pedimarmoratus",1963,NA
"Atelopus peruensis",1998,NA
"Atelopus petersi",1996,NA
"Atelopus petriruizi",1998,NA
"Atelopus pictiventris",1996,NA
"Atelopus pinangoi",1997,NA
"Atelopus planispina",1985,NA
"Atelopus podocarpus",1994,NA
"Atelopus pyrodactylus",2006,NA
"Atelopus quimbaya",1997,NA
"Atelopus reticulatus",1992,NA
"Atelopus sanjosei",1993,NA
"Atelopus seminiferus",1874,2001
"Atelopus sernai",2001,NA
"Atelopus simulatus",2003,NA
"Atelopus siranus",1988,NA
"Atelopus sonsonensis",1996,NA
"Atelopus sorianoi",1990,NA
"Atelopus subornatus",1993,NA
"Atelopus tamaense",1987,NA
"Atelopus zeteki",2009,NA
"Athene blewitti",1884,1997
"Atlapetes blancae",1971,2018
"Atlapetes pallidiceps",1969,1998
"Atlapetes terborghi",1968,NA
"Atopophrynus syntomopus",1980,NA
"Atractus andinus",1943,NA
"Atractus boulengerii",1896,2009
"Atractus microrhynchus",1868,2012
"Atractus peruvianus",1862,NA
"Atrichornis clamosus",1889,1961
"Austrochaperina brevipes",1896,1986
"Austrochaperina yelaensis",1960,2004
"Aythya innotata",1991,2006
"Bachia micromela",2001,NA
"Bachia psamophila",2002,NA
"Bachia remota",2005,NA
"Baikia africana",1963,NA
"Balantiopteryx infusca",1891,1991
"Bangsia aureocincta",1946,1992
"Bangsia melanochlamys",1948,1999
"Barbourula busuangensis",1923,1940
"Barbourula kalimantanensis",1995,2007
"Barkudia insularis",1917,2003
"Biswamoyopterus biswasi",1981,NA
"Boana secedens",1963,NA
"Bokermannohyla izecksohni",2008,NA
"Bokermannohyla langei",1965,NA
"Bolitoglossa capitana",2004,NA
"Bolitoglossa nussbaumi",1998,NA
"Boophis williamsi",1979,2001
"Bos sauveli",1969.5,NA
"Bostrychia bocagei",1920,1990
"Brachycephalus nodoterga",1920,NA
"Brachymeles dalawangdaliri",1972,NA
"Brachymeles elerae",1920,2010
"Brachymeles isangdaliri",2009,NA
"Brachymeles ligtas",2009,NA
"Brachymeles lukbani",2008,NA
"Brachymeles vermis",1980,NA
"Brachymeles wrighti",1925,NA
"Brachytarsomys villosa",1962,1999
"Bradypterus seebohmi",1894,2004
"Bradytriton silus",1976,2009
"Bronchocela orlovi",1993,NA
"Brookesia lambertoni",1921,NA
"Bufoides kempi",2002,NA
"Bunolagus monticularis",1902,1929
"Cabalus lafresnayanus",1890,NA
"Cacicus koepckeae",1965,1998
"Calcochloris tytonis",1964,NA
"Caledoniscincus cryptos",1990,NA
"Caledoniscincus terma",1995,NA
"Callaeas cinereus",2007,NA
"Callixalus pictus",1950,NA
"Calotes bhutanensis",1967,NA
"Calyptura cristata",1996,NA
"Campephilus imperialis",1956,NA
"Campephilus principalis",1944,NA
"Campylopterus phainopeplus",2010,NA
"Caprimulgus prigoginei",1955,NA
"Caprimulgus solala",1989,2009
"Caprolagus hispidus",1845,1971
"Cardioglossa cyaneospila",1949,2011
"Carlia sukur",1908,NA
"Carpococcyx viridis",1916,1997
"Carpomys melanurus",1896,2008
"Celatiscincus euryotis",1992,NA
"Celestus duquesneyi",1935,1997
"Celestus fowleri",1970,NA
"Celestus microblepharis",1952,NA
"Celestus occiduus",1840,NA
"Celeus obrieni",1926,2006
"Cercopithecus sclateri",1902.5,1988
"Cercosaura steyeri",1994,NA
"Chacodelphys formosa",1920,2004
"Chalcides ebneri",1970,NA
"Chalcides pentadactylus",1870,NA
"Chamaeleon monoceras",1905,NA
"Charmosyna amabilis",2002,NA
"Charmosyna diadema",1913,NA
"Charmosyna toxopei",1981,2014
"Cheirogaleus sibreei",1894,2001
"Chelodina kuchlingi",1997,NA
"Chelonoidis phantasticus",1964,2019
"Chiasmocleis sapiranga",2005,NA
"Chinchilla lanigera",1955,1978
"Chirindia mpwapwaensis",1929,NA
"Chiropterotriton casasi",1969,NA
"Chodsigoa sodalis",1913,1997
"Chrysochloris visagiei",1950,NA
"Cisticola melanurus",1972,2005
"Clytoctantes alixii",1965,2004
"Clytoctantes atrogularis",1986,2004
"Clytorhynchus sanctaecrucis",1927,2004
"Cnemaspis amith",1850,NA
"Cnemaspis andersonii",1905,NA
"Cnemaspis bayuensis",2008,NA
"Cnemaspis dezwaani",2009,NA
"Cnemaspis jacobsoni",1913,NA
"Cnemaspis laoensis",1998,NA
"Cnemaspis latha",2006,NA
"Cnemaspis menikay",2006,NA
"Cnemaspis minang",2007,NA
"Cnemaspis monticola",1850,NA
"Cnemaspis pagai",2009,NA
"Cnemaspis punctata",2007,NA
"Cnemaspis rajabasa",1996,NA
"Cnemaspis sundagekko",1925,NA
"Cnemaspis tapanuli",1975,NA
"Coeligena orina",1951,2004
"Columba argentina",1931,2008
"Columbina cyanopis",1941,2015
"Complicitus nigrigularis",2004,NA
"Conothraupis mesoleuca",1938,2003
"Conraua derooi",1980,2005
"Contomastix vittata",1900,2014
"Copeoglossum margaritae",1967,NA
"Copsychus cebuensis",1965,1981
"Correlophus belepensis",2002,NA
"Correlophus ciliatus",1883,1994
"Corvus unicolor",1900,2007
"Crateromys australis",1975,2012
"Crateromys paulus",1953,NA
"Craugastor adamastus",1985,NA
"Craugastor andi",1985,NA
"Craugastor catalinae",1990,NA
"Craugastor chrysozetetes",1994,NA
"Craugastor cruzi",1988,NA
"Craugastor epochthidius",1999,NA
"Craugastor fecundus",1989,NA
"Craugastor fleischmanni",2010,NA
"Craugastor gulosus",2006,NA
"Craugastor merendonensis",1975,NA
"Craugastor milesi",1992,2009
"Craugastor obesus",1984,NA
"Craugastor olanchano",2001,NA
"Craugastor phasma",1992,NA
"Craugastor punctariolus",2010,NA
"Craugastor rhyacobatrachus",1982,NA
"Craugastor saltuarius",1992.5,NA
"Craugastor trachydermus",1989,NA
"Crithagra flavigula",1886,1989
"Crocidura andamanensis",1902,1999
"Crocidura dhofarensis",1977,2005
"Crocidura jenkinsi",1978,1999
"Crocidura macmillani",1915,2002
"Crocidura picea",1940,1999
"Crocidura trichura",1985,NA
"Crocidura wimmeri",1982,2012
"Crossodactylodes pintoi",1938,NA
"Crossodactylus grandis",1965,NA
"Cryptoblepharus ahli",1848,NA
"Cryptoblepharus wulbu",2000,NA
"Cryptochloris wintoni",1937,NA
"Cryptochloris zyli",2003,NA
"Cryptotis endersi",1941,1980
"Cryptotis nelsoni",1900,2009
"Ctenotus aphrodite",1983,NA
"Ctenotus serotinus",1982.5,NA
"Ctenotus zastictus",1986,NA
"Cuora yunnanensis",1925,2004
"Cuora zhoui",2009,NA
"Cuscomys oblativa",1500,2009
"Cycloramphus asper",1977.5,NA
"Cycloramphus bolitoglossus",2003,NA
"Cycloramphus brasiliensis",1864,NA
"Cycloramphus diringshofeni",1957,NA
"Cycloramphus granulosus",1929,NA
"Cycloramphus ohausi",1907,NA
"Cycloramphus valae",1982,NA
"Cyclura collei",1945,1970
"Cynisca degrysi",1888,NA
"Cynisca gansi",1965,NA
"Cynisca haugi",1901,NA
"Cynisca kigomensis",1967,NA
"Cynisca nigeriensis",1966,NA
"Cynisca schaeferi",1911,NA
"Cynisca williamsi",1963,NA
"Cyornis ruckii",1918,NA
"Cyrtodactylus batik",2009,NA
"Cyrtodactylus cucphuongensis",2008,NA
"Cyrtodactylus derongo",1969,NA
"Cyrtodactylus eisenmanae",2006,NA
"Cyrtodactylus jarakensis",2007,NA
"Cyrtodactylus jeyporensis",1877,2010
"Cyrtodactylus khammouanensis",2009,NA
"Cyrtodactylus kimberleyensis",2007,NA
"Cyrtodactylus manos",2001,NA
"Cyrtodactylus minor",2003,NA
"Cyrtodactylus surin",2005,NA
"Cyrtodactylus tamaiensis",1939,NA
"Cyrtopodion belaense",2003,NA
"Dactylopsila tatei",1932,1992
"Dalophia gigantea",1903,NA
"Dalophia luluae",1932,NA
"Dasia johnsinghi",2005,NA
"Dendrolagus mayri",1928,2018
"Dendromus vernayi",1937,NA
"Dendrophidion atlantica",2006,NA
"Dendrophidion boshelli",1938,2014
"Dendrophryniscus proboscideus",1936,2000
"Dendropsophus amicorum",1968,NA
"Dendropsophus ruschii",1987,2005
"Dendrotriton cuchumatanus",1975,2005
"Dibamus alfredi",1961,NA
"Dibamus booliati",2001,NA
"Dibamus deharvengi",1995,NA
"Dibamus dezwaani",1910,NA
"Dibamus ingeri",1989,NA
"Dibamus kondaoensis",1987,NA
"Dibamus montanus",1917,NA
"Dibamus somsaki",1995,NA
"Dibamus tebal",1913,NA
"Dibamus vorisi",1990,NA
"Dicaeum quadricolor",1906,1992
"Dierogekko baaba",2006,NA
"Dierogekko inexpectatus",2008,NA
"Dierogekko kaalaensis",2002,NA
"Dierogekko poumensis",2007,NA
"Dierogekko thomaswhitei",2004,NA
"Diglossa gloriosissima",1965,2003
"Diploderma ngoclinensis",2004,NA
"Diplogale hosei",1955,2005
"Dipodomys gravipes",1986,2017
"Diporiphora convergens",1972,NA
"Ditaxodon taeniatus",1992.5,NA
"Dobsonia chapmani",1975,2001
"Draco biaro",1998,NA
"Draco iskandari",1998,NA
"Dryophytes bocourti",1984,NA
"Duttaphrynus sumatranus",1860,2001
"Duttaphrynus valhallae",1908,NA
"Dysithamnus occidentalis",1941,1991
"Ecnomiohyla echinata",1962,NA
"Ecnomiohyla rabborum",2007,NA
"Ectophylla alba",1885,1961
"Ectopoglossus atopoglossus",1995,NA
"Eleoscytalopus psychopompus",1983,2004
"Elephantulus fuscipes",1967,NA
"Elephantulus revoilii",1970,2019
"Eleutherodactylus cubanus",1936,1994
"Eleutherodactylus darlingtoni",1985,NA
"Eleutherodactylus eneidae",1990,NA
"Eleutherodactylus glanduliferoides",1985,NA
"Eleutherodactylus jamaicensis",1987,NA
"Eleutherodactylus jasperi",1981,NA
"Eleutherodactylus junori",1985,NA
"Eleutherodactylus karlschmidti",1976,NA
"Eleutherodactylus limbensis",1958,NA
"Eleutherodactylus lucioi",1980,NA
"Eleutherodactylus orcutti",1985,NA
"Eleutherodactylus rucillensis",1986,NA
"Eleutherodactylus schmidti",1985,NA
"Eleutherodactylus sisyphodemus",1984,NA
"Eleutherodactylus turquinensis",1936,1994
"Elusor macrurus",1975,1995
"Embernagra longicauda",1918,1928
"Emmochliophis fugleri",1965,2019
"Emoia aneityumensis",2004,NA
"Emoia campbelli",1983,NA
"Emoia coggeri",1963,NA
"Emoia cyclops",1938,NA
"Emoia erronan",2005,NA
"Emoia laobaoense",1937,NA
"Emoia loyaltiensis",2003,NA
"Emoia oriva",1986,NA
"Emoia paniai",1959,NA
"Emoia rufilabialis",1998,NA
"Emoia taumakoensis",1981,NA
"Emoia tuitarere",2000,NA
"Enyalioides sophiarothschildae",2008,NA
"Enyalius erythroceneus",2005,NA
"Epibator greeri",1979,2019
"Epictia rubrolineata",1901,NA
"Eremias cholistanica",2004,NA
"Eremias isfahanica",2009,NA
"Eremiascincus butlerorum",1989,NA
"Ericabatrachus baleensis",2009,NA
"Eriocnemis godini",1850,NA
"Eriocnemis mirabilis",1987,1997
"Eriocnemis nigrivestis",1950,1980
"Erythrolamprus cursor",1968,NA
"Erythrolamprus ornatus",1973,2012
"Erythrolamprus perfuscus",1963,NA
"Erythrolamprus williamsi",2010,NA
"Estrilda poliopareia",1987,2002
"Eugongylus sulaensis",1914,NA
"Eumeces cholistanensis",2002,NA
"Eumeces indothalensis",1984,NA
"Eumecia johnstoni",1897,NA
"Eumyias additus",1925,1995
"Eupetaurus cinereus",1924,1994
"Eurochelidon sirintarae",1978,NA
"Eurostopodus diabolicus",1931,1996
"Eurostopodus exul",1939,NA
"Eurycea robusta",1955,NA
"Euspondylus auyanensis",1998,NA
"Eutrichomyias rowleyi",1873,1998
"Eutriorchis astur",1950,1993
"Eutropis darevskii",1991,NA
"Eutropis gansi",1990,NA
"Eutropis macrophthalma",1999,NA
"Eutropis quadratilobus",1972,NA
"Excidobates mysteriosus",1929,1982
"Feylinia boulengeri",1917,NA
"Ficedula bonthaina",1931,1995
"Ficedula disposita",1967,1991
"Flexiseps stylus",1999,NA
"Formicivora erythronotos",1850,1987
"Fregetta maoriana",1850,2003
"Funisciurus duchaillui",1952,1993
"Furcifer monoceras",1905,NA
"Furcifer voeltzkowi",1913,2018
"Gallicolumba menagei",1891,NA
"Gallirallus lafresnayanus",1890,NA
"Gallotia bravoana",1800,1999
"Gastrotheca angustifrons",1995,NA
"Gastrotheca antomia",1997,NA
"Gastrotheca christiani",1996,NA
"Gastrotheca cornuta",2005,2018
"Gastrotheca ernestoi",1920,NA
"Gastrotheca fulvorufa",1911,NA
"Gastrotheca guentheri",1996,NA
"Gastrotheca splendens",1857,1997
"Gegeneophis seshachari",1967,2003
"Gekko guishanicus",1998,NA
"Genetta cristata",1933,1989
"Geocapromys ingrahami",1931,1953
"Geoscincus haraldmeieri",1975,NA
"Glaphyromorphus arnhemicus",1960,NA
"Glaucidium mooreorum",2001,NA
"Glischropus javanus",1939,2004
"Gonatodes infernalis",2007,NA
"Gonatodes lichenosus",2009,NA
"Goniurosaurus huuliensis",2003,NA
"Gonocephalus lacunosus",1990,NA
"Gonocephalus mjobergi",1924,NA
"Grallaria chthonia",1956,2016
"Grallaria milleri",1942,1994
"Gymnobelideus leadbeateri",1910,1961
"Haackgreerius miopus",1959,NA
"Hapalopsittaca fuertesi",1911,2002
"Harpesaurus beccarii",1915,1988
"Harpesaurus borneensis",1997,2017
"Harpesaurus ensicauda",1912,NA
"Harpesaurus modiglianii",1933,2018
"Harpiola grisea",1872,2002
"Hemidactylus aporus",1903,NA
"Hemidactylus endophis",1885,NA
"Hemidactylus klauberi",1931,NA
"Hemidactylus lopezjuradoi",1997,NA
"Hemidactylus makolowodei",2001,NA
"Hemidactylus newtoni",1897,NA
"Hemidactylus romeshkanicus",2007,NA
"Hemignathus affinis",1995,NA
"Hemignathus hanapepe",1899,NA
"Hemitriccus inornatus",1831,1992
"Hemitriccus kaempferi",1929,1991
"Heosemys depressa",1925,2009
"Herpetoreas pealii",1891,2018
"Heterodactylus septentrionalis",2007,NA
"Heteromirafra archeri",1955,2011
"Hipposideros marisae",1989,2009
"Hipposideros ridleyi",1910,1975
"Holcosus orcesi",1959,NA
"Holoaden bradei",1976,NA
"Holoaden luederwaldti",1967,2005
"Hyalinobatrachium talamancae",1952,2001
"Hydrobates macrodactylus",1912,NA
"Hydrophis hendersoni",1903,NA
"Hydrophis klossi",1912,NA
"Hydrophis nigrocinctus",1943,NA
"Hydrophis torquatus",1990,NA
"Hydrophis vorisi",1984,NA
"Hydrornis schneideri",1918,1988
"Hyla nicefori",1945,NA
"Hylodes mertensi",1965,NA
"Hylodes regius",1979,2014
"Hyloscirtus charazani",1970,1997
"Hyloscirtus chlorosteus",1975,NA
"Hyloscirtus lynchi",2010,NA
"Hyloscirtus pantostictus",2008,NA
"Hyloxalus abditaurantius",1995,NA
"Hyloxalus anthracinus",1991,NA
"Hyloxalus edwardsi",1996,NA
"Hyloxalus maquipucuna",1990,NA
"Hyloxalus marmoreoventris",1962,NA
"Hyloxalus ruizi",1979,NA
"Hynobius turkestanicus",1909,NA
"Hypsilurus nigrigularis",1874,NA
"Hypsirhynchus ater",1925,NA
"Hypsirhynchus melanichnus",1910,NA
"Ialtris parishi",1970,NA
"Ichnotropis chapini",1925,NA
"Ichnotropis tanganicana",1896,NA
"Ichthyophis hypocyaneus",1827,2000
"Ichthyophis singaporensis",1847,NA
"Incilius fastidiosus",1990,NA
"Incilius majordomus",1980,NA
"Incilius peripatetes",1980,NA
"Indirana longicrus",1937,NA
"Insulasaurus traanorum",2007,NA
"Ischnocnema pusilla",1967,NA
"Ischnocnema randorum",1985,NA
"Isthmohyla calypsa",2002,NA
"Isthmohyla rivularis",1988,2007
"Ixalotriton niger",2000,2011
"Ixalotriton parvus",1985,2007
"Japalura dasi",1997,NA
"Kaieteurosaurus hindsi",2004,NA
"Kalophrynus eok",2001,NA
"Kalophrynus robinsoni",1922,NA
"Kerivoula africana",1878,2000
"Kolpophis annandalei",1993,NA
"Kurixalus naso",1912,2000
"Lamprolepis leucosticta",1956,NA
"Laniarius brauni",1957,2005
"Lanius newtoni",1928,1990
"Lankascincus sripadensis",2006,NA
"Lankascincus taprobanensis",2006,NA
"Lanthocincla bieti",1989,2008
"Larutia nubisilvicola",2007,NA
"Larutia puehensis",1927,NA
"Latastia ornata",1938,NA
"Latastia siebenrocki",1905,NA
"Latidens salimalii",1948,1993
"Latonia nigriventer",1955,2011
"Laurentophryne parkeri",1950,NA
"Leimacomys buettneri",1890,NA
"Leiocephalus pratensis",1966,NA
"Leiocephalus rhutidira",1978,NA
"Leontopithecus chrysopygus",1905,1970
"Lepidoblepharis miyatai",1964,2015
"Lepidodactylus buleli",2006,NA
"Lepidodactylus gardineri",1982,NA
"Lepidodactylus labialis",1971,NA
"Lepidodactylus oligoporus",2004,NA
"Lepidodactylus tepukapili",1998,NA
"Lepidophyma chicoasensis",1993,NA
"Lepidophyma dontomasi",1972,2019
"Lepidophyma lowei",1991,NA
"Lepidophyma zongolica",2007,2018
"Lepidothrix vilasboasi",1957,2002
"Leptodactylus silvanimbus",1995,NA
"Leptodon forbesi",1922,1987
"Leptomys signatus",1936,2003
"Leptoseps poilani",2005,NA
"Leptosiaphos fuhni",1957,NA
"Leptosiaphos hylophilus",1955,NA
"Leptosiaphos koutoui",2001,NA
"Leptosiaphos rhomboidalis",1982,NA
"Leptotpyhlops telloi",1976,NA
"Leptotyphlops pungwensis",1997,NA
"Lerista allanae",1960,2009
"Lerista ameles",2006,NA
"Lerista haroldi",1995,NA
"Lerista puncticauda",2003,NA
"Lerista quadrivincula",1980,NA
"Letheobia leucosticta",1974,NA
