"species","last_seen","rediscovery_date"
"Leucopeza semperi",1961,NA
"Liolaemus antumalguen",2005,NA
"Liolaemus crandalli",2009,NA
"Liolaemus cranwelli",1973,NA
"Liolaemus duellmani",1974,NA
"Liolaemus montanezi",2005,NA
"Liolaemus rabinoi",1974,2010
"Lioscincus vivae",2003,NA
"Liotyphlops schubarti",1948,NA
"Lipinia cheesmanae",1989,NA
"Lipinia inconspicua",1894,NA
"Lipinia miangensis",1901,NA
"Lipinia nitens",1999,NA
"Lipinia occidentalis",1962,NA
"Lipinia relicta",2009,NA
"Lipinia semperi",2007,NA
"Lipinia subvittata",2007,NA
"Lipinia venemai",1952,NA
"Lithobates fisheri",1942,NA
"Lithobates onca",1950,1995
"Lithobates pueblae",1948,NA
"Lithobates tlaloci",1985,NA
"Lithobates vibicarius",1990,2002
"Litoria lorica",1991,2008
"Litoria nyakalensis",1990,NA
"Litoria piperata",1973,NA
"Liuixalus romeri",1953,1984
"Loddigesia mirabilis",1835,1965
"Lophura edwardsi",2000,NA
"Loveridgea phylofiniens",1899,NA
"Loxops ochraceus",1988,NA
"Luperosaurus yasumai",1994,NA
"Lycodon kundui",1943,NA
"Lygodactylus blanci",2008,NA
"Lygodactylus grandisonae",1962,NA
"Lygodactylus ornatus",1996,NA
"Lygodactylus pauliani",1996,NA
"Lygosoma bampfyldei",1895,NA
"Lygosoma boehmei",2006,NA
"Lygosoma kinabatanganense",1999,NA
"Lygosoma schneideri",1899,NA
"Lygosoma singha",1950,NA
"Lygosoma Vosmaeri",1839,2009
"Mabuya cochonae",1963,NA
"Mabuya grandisterrae",1920,NA
"Mabuya guadeloupae",1892,NA
"Mabuya hispaniolae",1937,NA
"Mabuya mabouya",1889,NA
"Mabuya montserratae",1984,NA
"Macroagelaius subalaris",1953,2005
"Macropholidus ataktolepis",1991,NA
"Madatyphlops madagascariensis",1921,NA
"Malacocincla perspicillata",1848,2020
"Mannophryne neblina",1951,NA
"Mantidactylus pauliani",1979,2001
"Marinussaurus curupira",2007,NA
"Marisora magnacornae",1928,NA
"Marmorosphax boulinda",2002,NA
"Marmorosphax kaala",2002,NA
"Marmosa andersoni",1954,1997
"Megastomatohyla mixe",2005,NA
"Melanobatrachus indicus",1878,1997
"Melanocharis arfakiana",1933,1992
"Melanomys zunigae",1949,NA
"Melanophryniscus macrogranulosus",1973,2004
"Melanophryniscus pachyrhynus",1905,2005
"Melanophryniscus peritus",1953,NA
"Melanospiza richardsoni",1886,1929
"Melomys fraterculus",1920,NA
"Melomys fulgens",1920,1993
"Melomys rubicola",2009,NA
"Meristogenys macrophthalmus",1964,NA
"Merulaxis stresemanni",1945,1995
"Mesalina ercolinii",1968,NA
"Mesocapromys angelcabrerai",1979,2004
"Mesocapromys nanus",1951,NA
"Mesocapromys sanfelipensis",1978,NA
"Micrixalus kottigeharensis",1937,2001
"Micrixalus silvaticus",1882,NA
"Microakodontomys transitorius",1993,2003
"Microcebus myoxinus",1893,1993
"Microhyla maculifera",1989,NA
"Mitophis calypso",1981,NA
"Mitophis leptipileptus",1984,NA
"Mochlus simonettai",1978,NA
"Mokopirirakau cupola",2007,NA
"Mokopirirakau Okarito",2000,2020
"Monodelphis unistriata",1899,NA
"Monopeltis adercae",1953,NA
"Monopeltis remaclei",1933,NA
"Montaspis gilvomaculata",2000,NA
"Muntiacus montanus",1930,2008
"Muntiacus rooseveltorum",1929,1994
"Murina tenebrosa",1962,NA
"Mustela russelliana",1911,NA
"Mustela tonkinensis",1939,NA
"Myadestes lanaiensis",1980,NA
"Myotis planiceps",1970,2004
"Myriopholis yemenicus",1933,NA
"Mystacina robusta",1967,NA
"Nactus acutus",2004,NA
"Nannophryne cophotis",2005,NA
"Nannoscincus garrulus",2002,NA
"Nannoscincus humectus",1996,NA
"Nannoscincus koniambo",2009,NA
"Nannoscincus manautei",2002,NA
"Nannoscincus rankini",1998,NA
"Nanorana aenea",1938,2000
"Nanorana mokokchungensis",1996,NA
"Natalus primus",1919,1992
"Nectophrynoides poyntoni",2003,NA
"Nemosia rourei",1941,1998
"Neodrepanis hypoxantha",1933,1988
"Neonycteris pusilla",1929,NA
"Neopteryx frosti",1939,1985
"Nesolagus netscheri",1972,2000
"Nesoromys ceramicus",1920,1987
"Nesoryzomys fernandinae",1979,1995
"Nesoryzomys swarthi",1906,1997
"Nessia deraniyagalai",1944,NA
"Newtonia fanovanae",1933,1989
"Nilopegamys plumbeus",1925,NA
"Nimbaphrynoides occidentalis",1978,2010
"Nomascus nasutus",1965,2002
"Nototriton tomamorum",2010,NA
"Nucras aurantiaca",2011,NA
"Numenius borealis",1963,NA
"Nyctibius leucopterus",1817,1993
"Nycticebus bancanus",1937,NA
"Nyctimene malaitensis",1968,2004
"Nymphargus armatus",1997,NA
"Nymphargus bejaranoi",2002,2020
"Nymphargus truebae",2005,NA
"Octodon pacificus",1994,NA
"Oedipina altura",1985,NA
"Oedipina maritima",1991,NA
"Oedipina paucidentata",1952,NA
"Oedipina petiola",1995,NA
"Ognorhynchus icterotis",1919,2005
"Oligodon jintakunei",2002,NA
"Oligosoma infrapunctatum",1887,NA
"Oligosoma pikitanga",2008,NA
"Omoadiphas cannula",1989,NA
"Onychogalea fraenata",1944,1974
"Ophidiocephalus taeniatus",1897,1978
"Ophiodes luciae",1995,NA
"Ophrysia superciliosa",1876,NA
"Oreobates granulosus",1903,2008
"Oreobates heterodactylus",1937,2005
"Oreobates zongoensis",1996,2017
"Ornithuroscincus albodorsalis",1974,NA
"Oroanassa magnifica",1960,1990
"Oryzomys gorgasi",1971,2001
"Oryzorictes tetradactylus",2008,NA
"Oscaecilia osae",1990,2004
"Otomops formosus",1939,1990
"Otus alfredi",1896,1994
"Otus capnodes",1886,1992
"Otus insularis",1906,1959
"Otus pauliani",1886,1989
"Otus siaoensis",1866,NA
"Oxypogon cyanolaemus",1946,2015
"Oxyuranus microlepidotus",1882,1972
"Pachydactylus otaviensis",2004,NA
"Pachytriton granulosus",1933,2009
"Panaspis burgeoni",1932,NA
"Panaspis duruarum",1947,NA
"Panaspis helleri",1925,NA
"Panaspis tancredii",1908,NA
"Panaspis wilsoni",1914,NA
"Pantepuisaurus rodriguesi",2007,NA
"Papuascincus buergersi",1913,NA
"Papuascincus phaeodes",1913,NA
"Paraclaravis geoffroyi",2005,NA
"Paracontias fasika",2007,NA
"Paracontias kankana",2008,NA
"Paracontias manify",2001,NA
"Paracontias tsararano",1996,NA
"Paracontias vermisaurus",2009,NA
"Paragehyra austini",2005,NA
"Parantechinus apicalis",1884,1967
"Paratelmatobius gaigeae",1931,2003
"Paratelmatobius lutzii",1978,NA
"Paratelmatobius mantiqueira",1953,2005
"Pareudiastes pacificus",1873,NA
"Pareudiastes silvestris",1953,NA
"Parhoplophryne usambarica",1925,NA
"Paroreomyza maculata",1985,NA
"Parotia berlepschi",1981,2005
"Paruwrobates andinus",1995,NA
"Parvoscincus agtorum",2009,NA
"Parvoscincus banahaoensis",2001,NA
"Parvoscincus igorotorum",2001,NA
"Parvoscincus palaliensis",2007,NA
"Parvoscincus palawanensis",1961,NA
"Parvoscincus sisoni",1992,NA
"Peltophryne fluviatica",1972,NA
"Peltophryne lemur",1930,1966
"Penelope albipennis",1876,1977
"Perdicula manipurensis",1932,2006
"Peromyscus guardia",1991,NA
"Peromyscus mekisturus",1948,NA
"Petaurus gracilis",1886,1989
"Petinomys fuscocapillus",1889,1989
"Petracola angustisoma",2007,NA
"Petracola labioocularis",1998,NA
"Pezoporus occidentalis",1912,1979
"Phaenomys ferrugineus",1940,1998
"Phaeoscincus ouinensis",2003,NA
"Phaeoscincus taomensis",2002,NA
"Phalanger matanim",1997,NA
"Pharotis imogene",1890,2012
"Phelsuma gouldi",2009,NA
"Phelsuma kely",2000,NA
"Phelsuma masohoala",1994,2016
"Philautus jacobsoni",1912,NA
"Philautus kempii",1912,NA
"Philautus microdiscus",1912,NA
"Phoboscincus bocourti",1876,2003
"Phoniscus papuensis",1897,1981
"Phrynobatrachus intermedius",2010,NA
"Phrynobatrachus manengoubensis",2008,NA
"Phrynobatrachus njiomock",2010,NA
"Phrynomedusa appendiculata",1925,NA
"Phrynopus peruanus",1874,2005
"Phyllodactylus papenfussi",2001,NA
"Phyllodactylus pulcher",1995,2011
"Phyllodytes wuchereri",1873,2004
"Phyllomys unicolor",1824,2004
"Phyllonycteris aphylla",1898,1957
"Phylloscartes roquettei",1977,1993
"Phymaturus desuetus",2006,NA
"Physalaemus moreirae",1937,NA
"Piliocolobus bouvieri",1887,2015
"Piliocolobus waldroni",1978,NA
"Pithecia vanzolinii",1956,2017
"Pithys castaneus",1938,2001
"Plagiodontia aedium",1836,1948
"Plagiopholis unipostocularis",1978,NA
"Platymantis cornutus",1922,1998
"Platymantis hazelae",1922,1998
"Plectrohyla pycnochila",1954,NA
"Plestiodon coreensis",1936,NA
"Plestiodon nietoi",2007,2017
"Plethodon ainsworthi",1964,NA
"Plethodon neomexicanus",1913,1950
"Plica lumaria",1990,NA
"Plica pansticta",1995,NA
"Ploceus aureonucha",1993,2006
"Ploceus megarhynchus",1869,1889
"Poecilotriccus senex",1830,1993
"Polypedates chlorophthalmus",2003,NA
"Pomarea mira",1985,NA
"Porphyrio hochstetteri",1898,1948
"Potamites ocellatus",1921,NA
"Potorous gilbertii",1900,1994
"Prasinohaema parkeri",1913,NA
"Prionailurus planiceps",1985,1995
"Pristimantis albericoi",1986,NA
"Pristimantis anotis",1974,NA
"Pristimantis bernali",1981,NA
"Pristimantis cacao",2001,NA
"Pristimantis caprifer",1983,NA
"Pristimantis chrysops",1997,NA
"Pristimantis cosnipatae",1999,NA
"Pristimantis deinops",2001,NA
"Pristimantis diaphonus",1993,NA
"Pristimantis diogenes",1993,NA
"Pristimantis hoogmoedi",2005,NA
"Pristimantis jaimei",1993,NA
"Pristimantis lichenoides",1995,NA
"Pristimantis longicorpus",2001,NA
"Pristimantis mars",1992,NA
"Pristimantis molybrignus",1999,NA
"Pristimantis phragmipleuron",1983,NA
"Pristimantis pugnax",1995,NA
"Pristimantis signifer",1995,NA
"Pristimantis spilogaster",1983,NA
"Pristimantis stenodiscus",1955,NA
"Pristimantis torrenticola",1994,NA
"Pristimantis xylochobates",1998,NA
"Pristurus schneideri",2004,NA
"Proablepharus barrylyoni",1984,NA
"Proceratophrys moratoi",1990,2009
"Proctoporus cephalolineatus",1985,NA
"Prolemur simus",1955,1986
"Proscelotes aenea",1928,NA
"Prostherapis dunni",1977,NA
"Prosymna ornatissima",1925,2007
"Pseudantechinus mimulus",1906,1967
"Pseudemydura umbrina",1839,1953
"Pseuderemias savagei",1961,NA
"Pseudoacontias madagascariensis",1889,NA
"Pseudoacontias menamainty",2000,NA
"Pseudoacontias unicolor",2000,NA
"Pseudobulweria aterrima",1900,1970
"Pseudobulweria becki",1929,2007
"Pseudobulweria macgillivrayi",1855,1984
"Pseudocalotes saravacensis",1993,NA
"Pseudocophotis kontumensis",2006,NA
"Pseudoeurycea anitae",1976,NA
"Pseudoeurycea aquatica",1978,NA
"Pseudoeurycea brunnata",1980,NA
"Pseudoeurycea exspectata",1976,NA
"Pseudoeurycea goebeli",2006,NA
"Pseudoeurycea mixcoatl",1977.5,NA
"Pseudoeurycea nigromaculata",1985,2006
"Pseudoeurycea teotepec",1964,NA
"Pseudoeurycea unguidentis",1976,NA
"Pseudonestor xanthophrys",1895,1950
"Pseudophilautus hypomelas",1876,2010
"Pseudophilautus stellatus",1853,2013
"Psittirostra psittacea",1989,NA
"Pteralopex anceps",1925,1995
"Pteralopex flanneryi",2000,NA
"Pteralopex pulchra",1990,NA
"Pterodroma cahow",1620,1951
"Pterodroma caribbaea",1879,NA
"Pterodroma magentae",1869,1978
"Pteropus aruensis",1992,NA
"Pteropus gilliardorum",1959,1994
"Pteropus nitendiensis",1926,1990
"Ptilinopus arcanus",1953,NA
"Ptychohyla dendrophasma",1998,NA
"Ptyodactylus homolepis",1876,NA
"Pulchrana guttmani",1993,2020
"Pulchrana melanomenta",1920,2004
"Pycnonotus nieuwenhuisii",1937,1992
"Pyrrhula murina",1932,1967
"Pyrrhura subandina",1949,NA
"Python kyaiktiyo",2003,NA
"Raclitia indica",1995,2014
"Rafetus swinhoei",1995,2020
"Rallus antarcticus",1959,1998
"Ramphotyphlops aluensis",1887,2003
"Rana chevronta",1983,NA
"Raorchestes chalazodes",1878,2003
"Raorchestes sanctisilvaticus",1963,2017
"Raorchestes travancoricus",1853,2010
"Rattus giluwensis",1983,2005
"Rhacophorus bifasciatus",1926,2006
"Rhacophorus lateralis",1883,2000
"Rhacophorus poecilonotus",1920,2000
"Rhagomys rufescens",1917,2003
"Rhinella amabilis",1968,NA
"Rhinella chrysophora",1996,NA
"Rhinella leptoscelis",1912,2006
"Rhinella rostrata",1914,NA
"Rhinoderma rufum",1981,NA
"Rhinolophus hilli",1981,2019
"Rhinolophus maclaudi",1967,2002
"Rhinolophus osgoodi",1939,2003
"Rhinopithecus avunculus",1912,1992
"Rhinopithecus bieti",1897,1960
"Rhinoptilus bitorquatus",2009,NA
"Rhipidura malaitae",1930,1990
"Rhodonessa caryophyllacea",1949,NA
"Rhynchomeles prattorum",1920,NA
"Riama inanis",1983,NA
"Riolama luridiventris",1992,NA
"Riolama uzzelli",1992,NA
"Ristella rurkii",1839,2018
"Saccopteryx antioquensis",1996,NA
"Sarcohyla calvicollina",1980,NA
"Sarcohyla charadricola",1961,NA
"Sarcohyla cyanomma",1980,NA
"Sarcohyla pachyderma",1940,NA
"Sarcohyla psarosema",1978,NA
"Sarcohyla sabrina",1975,NA
"Sarcohyla siopela",1975,NA
"Sarothrura watersi",1930,1987
"Sceloporus exsul",1972,2017
"Scelotes duttoni",1990,NA
"Scelotes poensis",1895,NA
"Scincella darevskii",2002,NA
"Scincella macrotis",1867,NA
"Scincella przewalskii",1880,NA
"Scincella rara",1997,NA
"Scolecoseps acontias",1913,NA
"Scolecoseps boulengeri",1948,NA
"Scutiger maculatus",1978,NA
"Setopagis maculosa",1917,NA
"Siebenrockiella leytensis",1920,2004
"Sigaloseps balios",2009,NA
"Siphonorhis americana",1860,NA
"Siphonorhis brewsteri",1928,1969
"Sitana fusca",1996,NA
"Sitana schleichi",2001,NA
"Sminthopsis douglasi",1972,1991
"Sminthopsis longicaudata",1935,1984
"Sminthopsis psammophila",1894,1969
"Spalax istricus",1983,NA
"Spelaeornis badeigularis",1947,2004
"Sphaenorhynchus pauloalvini",1973,2007
"Sphaerodactylus bromeliarum",2005,NA
"Sphaerodactylus cochranae",2008,NA
"Sphaerodactylus elasmorhynchus",1966,NA
"Sphaerodactylus epiurus",1991,NA
"Sphaerodactylus gilvitorques",1862,NA
"Sphaerodactylus lazelli",1960,NA
"Sphaerodactylus nycteropus",1977,NA
"Sphaerodactylus plummeri",1991,NA
"Sphaerodactylus sommeri",1985,NA
"Sphaerodactylus williamsi",1978,NA
"Sphenomorphus bacboensis",1986,NA
"Sphenomorphus buettikoferi",1894,NA
"Sphenomorphus capitolythos",1923,NA
"Sphenomorphus cinereus",1969,NA
"Sphenomorphus consobrinus",2006,NA
"Sphenomorphus courcyanus",1912,NA
"Sphenomorphus crassus",1990,NA
"Sphenomorphus dekkerae",1952,NA
"Sphenomorphus fragosus",1966,NA
"Sphenomorphus fuscolineatus",2005,NA
"Sphenomorphus grandisonae",1935,NA
"Sphenomorphus haasi",1984,NA
"Sphenomorphus helenae",1923,NA
"Sphenomorphus leptofasciatus",1986,NA
"Sphenomorphus longicaudatus",2000,NA
"Sphenomorphus louisiadensis",2004,NA
"Sphenomorphus malaisei",1937,NA
"Sphenomorphus mimikanus",1997,NA
"Sphenomorphus murudensis",1999,NA
"Sphenomorphus neuhaussi",1988,NA
"Sphenomorphus oligolepis",2009,NA
"Sphenomorphus orientalis",2005,NA
"Sphenomorphus rarus",1983,NA
"Sphenomorphus sanana",1990,NA
"Sphenomorphus schlegeli",1969,NA
"Sphenomorphus shelfordi",1899,NA
"Sphenomorphus tanneri",1999,NA
"Sphenomorphus taylori",1966,NA
"Sphenomorphus tenuiculus",1890,NA
"Sphenomorphus tetradactylus",2005,NA
"Sphenomorphus transversus",1962,NA
"Sphenomorphus tritaeniatus",1937,NA
"Sphenomorphus vanhuerni",1931,NA
"Sphenomorphus wollastoni",1913,NA
"Sphenomorphus zimmeri",1932,NA
"Spondylurus anegadae",1968,NA
"Spondylurus haitiae",1858,NA
"Spondylurus lineolatus",1985,NA
"Spondylurus macleani",1996,NA
"Spondylurus magnacruzae",2000,NA
"Spondylurus martinae",1965,NA
"Spondylurus monae",1994,NA
"Spondylurus spilonotus",1877,NA
"Stachyris herberti",1920,1994
"Stenocercus amydrorhytus",1997,NA
"Stenocercus haenschi",1899,NA
"Stenocercus ivitus",1970,NA
"Stenocercus johaberfellneri",1997,NA
"Stenocercus nigromaculatus",1970,NA
"Stenocercus praeornatus",1969,NA
"Stenocercus tricristatus",1851,NA
"Strabomantis cadenai",1982,NA
"Strabomantis helonotus",1959,NA
"Strabomantis necerus",1995,NA
"Sylvietta chapini",1942,NA
"Sylvilagus insonus",1902.5,NA
"Synallaxis kollari",1832,1966
"Tadorna cristata",1964,NA
"Takydromus madaensis",1990,NA
"Takydromus sikkimensis",2006,NA
"Tantilla albiceps",1925,NA
"Tantilla tecta",1992,NA
"Tanygnathus gramineus",1922,1980
"Tarsius pumilus",1930,2000
"Telmatobius bolivianus",2007,NA
"Telmatobius ceiorum",1984,NA
"Telmatobius cirrhacelis",1981,NA
"Telmatobius colanensis",1978,NA
"Telmatobius degener",1972,NA
"Telmatobius edaphonastes",1999,NA
"Telmatobius espadai",1998,NA
"Telmatobius gigas",1966,1998
"Telmatobius halli",1935,2020
"Telmatobius hockingi",1992,NA
"Telmatobius laticeps",1993,NA
"Telmatobius mendelsoni",2007,NA
"Telmatobius necopinus",1989,NA
"Telmatobius niger",1994,NA
"Telmatobius pefauri",1976,NA
"Telmatobius sibiricus",2003,NA
"Telmatobius thompsoni",1972,NA
"Telmatobius vellardi",1987,NA
"Telmatobufo venustus",1899,1999
"Tetradactylus udzungwensis",2002,NA
"Thallomys shortridgei",1932,NA
"Thamnophilus praecox",1937,1991
"Thaumatibis gigantea",1962,1993
"Thorius infernalis",1985,NA
"Thorius longicaudus",1998,NA
"Thorius magnipes",2003,NA
"Thorius minutissimus",1949,2001
"Thoropa petropolitana",1979,NA
"Thripophaga cherriei",1970,1999
"Thryophilus nicefori",1945,1989
"Tiliqua adelaidensis",1955,1992
"Tityra leucura",2007,NA
"Tokudaia muenninki",1978,2008
"Tolypeutes tricinctus",1973,1993
"Toxostoma guttatum",2004,NA
"Trachyboa gularis",2008.5,NA
"Trachylepis betsileana",1906,NA
"Trachylepis loluiensis",2007,NA
"Trachylepis nganghae",2001,NA
"Trachylepis pendeana",1994,NA
"Trachylepis vezo",2009,NA
"Trachypithecus delacouri",1930,1987
"Tragulus versicolor",1990,2019
"Tribolonotus parkeri",2005,NA
"Tribolonotus ponceleti",1986,NA
"Trimetopon viquezi",1927,NA
"Trioceros chapini",1931,NA
"Tropidophis hendersoni",1945,2014
"Tropidophorus hangnam",2005,NA
"Tropidophorus iniquus",1894,NA
"Tropidophorus latiscutatus",1996,NA
"Tropidophorus matsuii",1996,NA
"Tropidophorus murphyi",1998,NA
"Tropiocolotes wolfgangboehmei",2001,NA
"Turnix novaecaledoniae",1911,NA
"Tylomys bullaris",1970,NA
"Tylomys tumbalensis",1970,NA
"Tympanocryptis pinguicolla",1969,NA
"Tympanoctomys loschalchalerosorum",2000,NA
"Typhlacontias rudebecki",1956,NA
"Typhlops agoralionis",1991,NA
"Typhlops tetrathyreus",1976,NA
"Tyto sororcula",1923,1996
"Tyto soumagnei",1973,1993
"Tytthoscincus perhentianensis",2007,NA
"Uraeotyphlus interruptus",1992,NA
"Uraeotyphlus malabaricus",1870,NA
"Uraeotyphlus menoni",1913,NA
"Uraeotyphlus oommeni",1987,NA
"Urocotyledon rasmusseni",2004,NA
"Uromys emmae",1945,NA
"Uromys imperator",1888,NA
"Uromys porculus",1888,NA
"Vanellus macropterus",1939,NA
"Varanus auffenbergi",2005,NA
"Varanus douarrha",1823,2012
"Varanus telenesetes",1912.5,NA
"Varanus zugorum",1980,NA
"Vermivora bachmanii",1988,NA
"Vietnascincus rugosus",1987,NA
"Vijayachelys silvatica",1911,1982
"Vipera anatolica",1985,2014
"Viverra civettina",1989,NA
"Voeltzkowia mobydick",2004,NA
"Wakea madinika",2001,NA
"Werneria mertensiana",2010,NA
"Xenoglaux loweryi",1976,2007
"Xenotyphlops mocquardi",1905,2005
"Xylophis stenorhynchus",1878,2019
"Zaglossus attenboroughi",1961,NA
"Zosterops meeki",1990,2004
"Zyzomys pedunculatus",1966,1996
"Zapornia olivieri",1962,1995
"Saucerottia castaneiventris",1979,2004
"Sclerophrys danielae",1977,NA
"Leposternon cerradensis",2006,NA
"Rhaebo olallai",1970,2012
"Ghatophryne ornata",1890,1990
"Boana clepsydra",1925,NA
"Glyphoglossus volzi",1905,1999
"Antrostomus noctitherus",1911,1961
"Sapajus flavius",1774,2006
"Siderolamprus adercus",2009,NA
"Caribicus anelpistus",1977,NA
"Siderolamprus ingridae",2001,NA
"Centrolene geckoidea",1997,NA
"Centrolene pipilata",1977,NA
"Chirixalus simus",1911,1999
"Laniellus langbianis",1938,1994
"Hypselotriton wolterstorffi",1979,NA
"Rheosaurus sulcarostrum",2004,NA
"Limnonectes ghoshi",1975,NA
"Ianthocincla bieti",1989,2008
"Pterorhinus courtoisi",1919,2000
"Sanguirana igorota",1920,2001
"Stereocyclops histrio",1954,2000
"Boana cymbalum",1965,NA
"Boana melanopleura",1912,2004
"Leptobrachella lateralis",1871,2008
"Platyplectrum melanopyga",1927,1956
"Carpodacus sillemi",1929,2012
"Ornithuroscincus nototaenia",1975,NA
"Gekko gulat",2007,NA
"Gekko iskandari",1998,NA
"Lygisaurus absconditus",2003,NA
"Notamacropus parma",1932,1966
"Phantasmarana massarti",1930,NA
"Cincloramphus rufus",1894,2002
"Microtus liechtensteini",1976,2004
"Minervarya nilagirica",1979,NA
"Minervarya mysorensis",1937,NA
"Symposiachrus boanensis",1918,1991
"Symposiachrus julianae",1955,1986
"Crithagra concolor",1888,1991
"Carinascincus palfreymani",2001,NA
"Lagothrix flavicauda",1926,1974
"Catopuma badia",1928,1992
"Tyto prigoginei",1951,1996
"Pseudohynobius puxiongensis",1965,2009
"Alopoglossus eurylepis",1984,NA
"Alopoglossus grandisquamatus",1981,NA
"Andinosaura afrania",1989,NA
"Oreosaurus luctuosus",2005,NA
"Andinosaura stellae",1986,NA
"Syndactyla striata",1935,1989
"Tytthoscincus cophias",1967,NA
"Sphenomorphus modiglianii",1894,NA
"Thalasseus bernsteini",1991,2001
"Eupherusa ridgwayi",1900,1950
"Lipaugus conditus",1942,1980
